,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
42,JobRole=Human Resources,0.0,,,,,,,
50,StockOptionLevel=2,0.0,,,,,,,
49,OverTime=Yes,0.0,,,,,,,
40,JobRole=Manufacturing Director,0.0,,,,,,,
32,JobLevel=5,0.0,,,,,,,
6,Satisfied,0.0,0.24916181804250812,0.0,0.0,0.0,0.0,0.0,0.0
29,EmpNumQauntile_In_DeptRole=3,0.0,,,,,,,
43,JobRole=Research Director,0.0,,,,,,,
12,Department=Human Resources,0.0,,,,,,,
31,Gender=Female,0.0,,,,,,,
34,JobLevel=2,0.0030627872329205275,,,,,,,
37,JobRole=Manager,0.0030627872329205275,,,,,,,
25,EmpNumQauntile_In_DeptRole=1,0.0030627872329205275,,,,,,,
35,JobLevel=3,0.004594180732965469,,,,,,,
7,WorkLifeBalanceSatisfied,0.004594180732965469,0.22603069710341966,0.0,0.0,0.0,0.0,0.0,0.0
44,JobRole=Laboratory Technician,0.004594180732965469,,,,,,,
46,MaritalStatus=Divorced,0.004594180732965469,,,,,,,
22,EducationField=Other,0.006125574465841055,,,,,,,
27,EmpNumQauntile_In_DeptRole=4,0.006125574465841055,,,,,,,
26,EmpNumQauntile_In_DeptRole=2,0.007656967733055353,,,,,,,
39,JobRole=Research Scientist,0.007656967733055353,,,,,,,
10,BusinessTravel=Travel_Rarely,0.007656967733055353,,,,,,,
23,EducationField=Human Resources,0.009188361465930939,,,,,,,
5,JobSatisfied,0.009188361465930939,0.24206145913796356,0.02789340168237686,0.0,0.02789340168237686,0.0,0.0,0.0
17,Education=2,0.009188361465930939,,,,,,,
11,Department=Research & Development,0.010719754733145237,,,,,,,
13,Department=Sales,0.010719754733145237,,,,,,,
41,JobRole=Healthcare Representative,0.01225114893168211,,,,,,,
53,StockOptionLevel=3,0.01225114893168211,,,,,,,
14,Education=5,0.01225114893168211,,,,,,,
8,BusinessTravel=Non-Travel,0.01225114893168211,,,,,,,
20,EducationField=Life Sciences,0.01225114893168211,,,,,,,
18,Education=3,0.01225114893168211,,,,,,,
47,MaritalStatus=Single,0.013782542198896408,,,,,,,
15,Education=1,0.013782542198896408,,,,,,,
21,EducationField=Marketing,0.013782542198896408,,,,,,,
19,EducationField=Medical,0.018376722931861877,,,,,,,
28,EmpNumQauntile_In_DeptRole=0,0.01990811713039875,,,,,,,
45,MaritalStatus=Married,0.01990811713039875,,,,,,,
24,EducationField=Technical Degree,0.021439509466290474,,,,,,,
36,JobRole=Sales Executive,0.021439509466290474,,,,,,,
16,Education=4,0.021439509466290474,,,,,,,
4,EnvironmentSatisfied,0.022970903664827347,0.24459484863614533,0.017360717058181763,0.0,0.017360717058181763,0.0,0.0,0.0
30,Gender=Male,0.022970903664827347,,,,,,,
38,JobRole=Sales Representative,0.02450229786336422,,,,,,,
9,BusinessTravel=Travel_Frequently,0.027565084397792816,,,,,,,
0,JobInvolvement,0.030627870932221413,0.3558247425592484,0.0,0.0,0.0,0.0,0.0,0.0
51,StockOptionLevel=1,0.032159265130758286,,,,,,,
52,StockOptionLevel=0,0.03522205352783203,,,,,,,
1,TrainingTimesLastYear,0.05053598806262016,0.6490394901807205,-0.013524419628083706,0.011811135336756706,0.02864650823175907,0.0262302178889513,0.024713754653930664,0.0192786306142807
33,JobLevel=1,0.056661561131477356,,,,,,,
48,OverTime=No,0.07503828406333923,,,,,,,
2,YearsSinceLastPromotion,0.11638591438531876,1.6826985372466652,0.0013667902676388621,-0.010506228543817997,0.009546615183353424,0.02352602407336235,0.0,0.01563987135887146
3,Satisfaction,0.15620213747024536,0.15531716821404742,0.0846366211771965,-0.07514848560094833,0.08644022792577744,0.07856923341751099,0.07382349669933319,0.07137259840965271
